               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.021728,             0.02851,           0.0014592,               0.929,             0.88616,             0.92871,             0.64904,            0.026339,            0.018442,           0.0018013,            0.004159,            0.004159,            0.004159
                  61,            0.021458,            0.028624,           0.0015179,             0.89108,             0.84435,              0.8813,             0.66222,            0.027039,            0.017675,           0.0017071,             0.00406,             0.00406,             0.00406
                  62,            0.021263,            0.028212,           0.0015805,             0.91905,             0.86343,             0.89004,             0.66879,            0.025744,            0.018015,           0.0021782,            0.003961,            0.003961,            0.003961
                  63,            0.020844,            0.027376,           0.0013855,             0.93304,             0.86282,             0.87298,             0.67306,            0.027172,            0.018108,           0.0035339,            0.003862,            0.003862,            0.003862
                  64,            0.020565,            0.027236,           0.0015404,             0.93884,             0.83716,             0.88118,             0.65406,            0.027003,            0.018429,           0.0025787,            0.003763,            0.003763,            0.003763
                  65,            0.021148,            0.029171,           0.0013852,             0.96861,             0.89521,             0.91801,             0.64795,             0.02712,             0.01894,           0.0022007,            0.003664,            0.003664,            0.003664
                  66,             0.02046,            0.026775,           0.0014741,             0.89491,             0.84109,             0.86057,             0.66262,            0.027479,            0.018906,           0.0024132,            0.003565,            0.003565,            0.003565
                  67,            0.020452,            0.028079,           0.0014161,             0.93806,             0.85404,             0.87993,             0.65726,            0.027723,            0.018604,           0.0029076,            0.003466,            0.003466,            0.003466
                  68,            0.019835,            0.026981,           0.0013057,             0.89624,             0.87333,             0.87545,             0.64972,            0.028593,            0.019203,           0.0025909,            0.003367,            0.003367,            0.003367
                  69,            0.020132,            0.026546,           0.0014328,             0.88583,             0.86378,             0.88137,              0.6738,            0.027694,            0.019098,           0.0024071,            0.003268,            0.003268,            0.003268
                  70,             0.01918,            0.027257,           0.0012776,             0.87916,              0.8582,             0.87704,             0.67725,            0.026331,            0.018236,           0.0014633,            0.003169,            0.003169,            0.003169
                  71,            0.019544,            0.026805,           0.0013148,             0.91699,             0.86859,              0.9196,             0.67842,            0.025446,            0.017748,           0.0024895,             0.00307,             0.00307,             0.00307
                  72,            0.019166,            0.027247,           0.0013243,             0.88649,             0.87135,             0.87645,             0.64868,            0.026982,            0.018818,           0.0022884,            0.002971,            0.002971,            0.002971
                  73,            0.018262,            0.026467,           0.0012044,             0.90933,             0.89305,             0.90749,             0.66409,            0.026608,            0.017822,           0.0027527,            0.002872,            0.002872,            0.002872
                  74,            0.018753,            0.026405,           0.0013286,             0.91663,             0.88236,             0.90438,             0.67364,            0.026748,             0.01804,           0.0029781,            0.002773,            0.002773,            0.002773
